Method Used,Dataset Used,k,Cost,Runtime (ms)
Gonzalez,Iris,3,2.042057785666214,0.01402425765991211
Gonzalez,Iris,6,1.341640786499874,0.025974750518798828
Gonzalez,Iris,9,1.3490737563232038,0.06451082229614258
Branch and Bound,Iris,3,2.5495126258261633,0.25266146659851074
Branch and Bound,Iris,6,1.3490762181687876,0.3080151081085205
Branch and Bound,Iris,9,1.1045414994485403,0.5515341758728027
Gonzalez,Wine,3,330.15601796726344,0.010197639465332031
Gonzalez,Wine,6,142.02526148541324,0.05416512489318848
Gonzalez,Wine,9,122.75482923290636,0.19327688217163086
Branch and Bound,Wine,3,385.7640584783465,0.48249340057373047
Branch and Bound,Wine,6,200.06799198219161,0.7390780448913574
Branch and Bound,Wine,9,112.19313630860704,0.6664283275604248
Gonzalez,Breast Cancer,3,1103.6245770207488,0.02456068992614746
Gonzalez,Breast Cancer,6,857.4459368106168,0.05689883232116699
Gonzalez,Breast Cancer,9,627.0104493953381,0.11527895927429199
Branch and Bound,Breast Cancer,3,1145.6754283458604,1.5855305194854736
Branch and Bound,Breast Cancer,6,752.593483331992,2.6148440837860107
Branch and Bound,Breast Cancer,9,630.1219589847096,1.8888750076293945
Gonzalez,MNIST Digits (8X8),3,56.630380539071076,0.05916142463684082
Gonzalez,MNIST Digits (8X8),6,54.08326913195984,0.1988828182220459
Gonzalez,MNIST Digits (8X8),9,49.9799959983992,0.36891841888427734
Branch and Bound,MNIST Digits (8X8),3,55.73150342299847,10.266733884811401
Branch and Bound,MNIST Digits (8X8),6,52.12485603875447,9.613291263580322
Branch and Bound,MNIST Digits (8X8),9,49.63869804282085,11.392653465270996
Gonzalez,Diabetes,3,0.287908626129073,0.02593064308166504
Gonzalez,Diabetes,6,0.23066609823298512,0.043883562088012695
Gonzalez,Diabetes,9,0.21715276384421006,0.0875391960144043
Branch and Bound,Diabetes,3,0.2722262117502614,0.6996407508850098
Branch and Bound,Diabetes,6,0.22008992809561895,0.8898627758026123
Branch and Bound,Diabetes,9,0.19533585319461183,1.6060643196105957
